,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
ACCESS-CM2,r4i1p1f1,r6i1p1f1,r7i1p1f1,r2i1p1f1,r8i1p1f1,r9i1p1f1,r10i1p1f1,r5i1p1f1,r3i1p1f1,r1i1p1f1,,,,,,,,,,
ACCESS-ESM1-5,r16i1p1f1,r26i1p1f1,r11i1p1f1,r37i1p1f1,r22i1p1f1,r15i1p1f1,r35i1p1f1,r12i1p1f1,r34i1p1f1,r33i1p1f1,r7i1p1f1,r29i1p1f1,r31i1p1f1,r39i1p1f1,r19i1p1f1,r30i1p1f1,r36i1p1f1,r21i1p1f1,r20i1p1f1,r10i1p1f1
AWI-CM-1-1-MR,r4i1p1f1,r5i1p1f1,r3i1p1f1,r2i1p1f1,r1i1p1f1,,,,,,,,,,,,,,,
AWI-ESM-1-1-LR,r1i1p1f1,,,,,,,,,,,,,,,,,,,
BCC-CSM2-MR,r2i1p1f1,r1i1p1f1,r3i1p1f1,,,,,,,,,,,,,,,,,
BCC-ESM1,r2i1p1f1,r1i1p1f1,r3i1p1f1,,,,,,,,,,,,,,,,,
CAMS-CSM1-0,r1i1p1f2,r1i1p1f1,r2i1p1f1,,,,,,,,,,,,,,,,,
CAS-ESM2-0,r2i1p1f1,r1i1p1f1,r3i1p1f1,r4i1p1f1,,,,,,,,,,,,,,,,
CESM2,r7i1p1f1,r4i1p1f1,r3i1p1f1,r6i1p1f1,r8i1p1f1,r5i1p1f1,r10i1p1f1,r9i1p1f1,r2i1p1f1,r11i1p1f1,r1i1p1f1,,,,,,,,,
CESM2-FV2,r1i1p1f1,r3i1p1f1,r1i2p2f1,r2i1p1f1,,,,,,,,,,,,,,,,
CESM2-WACCM,r2i1p1f1,r1i1p1f1,r3i1p1f1,,,,,,,,,,,,,,,,,
CESM2-WACCM-FV2,r2i1p1f1,r1i1p1f1,r3i1p1f1,,,,,,,,,,,,,,,,,
CIESM,r3i1p1f1,r2i1p1f1,r1i1p1f1,,,,,,,,,,,,,,,,,
CMCC-CM2-HR4,r1i1p1f1,,,,,,,,,,,,,,,,,,,
CMCC-CM2-SR5,r8i1p2f1,r6i1p2f1,r3i1p2f1,r1i1p1f1,r7i1p2f1,r10i1p2f1,r5i1p2f1,r4i1p2f1,r2i1p2f1,r9i1p2f1,r11i1p2f1,,,,,,,,,
CMCC-ESM2,r1i1p1f1,,,,,,,,,,,,,,,,,,,
CNRM-CM6-1,r29i1p1f2,r3i1p1f2,r19i1p1f2,r2i1p1f2,r27i1p1f2,r26i1p1f2,r7i1p1f2,r30i1p1f2,r11i1p1f2,r13i1p1f2,r21i1p1f2,r18i1p1f2,r17i1p1f2,r25i1p1f2,r15i1p1f2,r14i1p1f2,r10i1p1f2,r28i1p1f2,r8i1p1f2,r20i1p1f2
CNRM-CM6-1-HR,r1i1p1f2,,,,,,,,,,,,,,,,,,,
CNRM-ESM2-1,r11i1p1f2,r6i1p1f2,r10i1p1f2,r3i1p1f2,r8i1p1f2,r2i1p1f2,r1i1p1f2,r5i1p1f2,r7i1p1f2,r9i1p1f2,r4i1p1f2,,,,,,,,,
CanESM5,r20i1p2f1,r13i1p1f1,r22i1p2f1,r4i1p2f1,r15i1p1f1,r18i1p1f1,r3i1p1f1,r6i1p1f1,r35i1p2f1,r14i1p1f1,r24i1p1f1,r34i1p2f1,r2i1p1f1,r21i1p1f1,r25i1p1f1,r22i1p1f1,r30i1p2f1,r9i1p2f1,r11i1p1f1,r21i1p2f1
CanESM5-1,r2i1p1f1,r26i1p1f1,r11i1p1f1,r1i1p2f1,r23i1p2f1,r32i1p1f1,r9i1p1f1,r10i1p2f1,r18i1p1f1,r28i1p1f1,r5i1p2f1,r12i1p1f1,r43i1p1f1,r45i1p1f1,r8i1p2f1,r39i1p1f1,r42i1p1f1,r7i1p2f1,r9i1p2f1,r37i1p1f1
CanESM5-CanOE,r2i1p2f1,r3i1p2f1,r1i1p2f1,,,,,,,,,,,,,,,,,
E3SM-1-0,r1i1p1f1,r3i1p1f1,r2i1p1f1,r5i1p1f1,r4i1p1f1,,,,,,,,,,,,,,,
E3SM-1-1,r1i1p1f1,,,,,,,,,,,,,,,,,,,
E3SM-1-1-ECA,r1i1p1f1,,,,,,,,,,,,,,,,,,,
E3SM-2-0,r2i1p1f1,r5i1p1f1,r3i1p1f1,r4i1p1f1,r1i1p1f1,,,,,,,,,,,,,,,
EC-Earth3,r17i1p1f1,r110i1p1f1,r117i1p1f1,r11i1p1f1,r109i1p1f1,r134i1p1f1,r12i1p1f1,r105i1p1f1,r24i1p1f1,r130i1p1f1,r106i1p1f1,r133i1p1f1,r19i1p1f1,r140i1p1f1,r138i1p1f1,r132i1p1f1,r20i1p1f1,r135i1p1f1,r141i1p1f1,r111i1p1f1
EC-Earth3-AerChem,r1i1p1f1,r4i1p1f1,r3i1p1f1,,,,,,,,,,,,,,,,,
EC-Earth3-CC,r4i1p1f1,r11i1p1f1,r13i1p1f1,r7i1p1f1,r6i1p1f1,r1i1p1f1,r9i1p1f1,r8i1p1f1,r10i1p1f1,r12i1p1f1,,,,,,,,,,
EC-Earth3-Veg,r12i1p1f1,r4i1p1f1,r1i1p1f1,r6i1p1f1,r2i1p1f1,r3i1p1f1,r5i1p1f1,r10i1p1f1,r14i1p1f1,,,,,,,,,,,
EC-Earth3-Veg-LR,r1i1p1f1,r3i1p1f1,r2i1p1f1,,,,,,,,,,,,,,,,,
FGOALS-f3-L,r3i1p1f1,r1i1p1f1,r2i1p1f1,,,,,,,,,,,,,,,,,
FGOALS-g3,r2i1p1f1,r1i1p1f1,r5i1p1f1,r3i1p1f1,r4i1p1f1,r6i1p1f1,,,,,,,,,,,,,,
FIO-ESM-2-0,r1i1p1f1,r3i1p1f1,r2i1p1f1,,,,,,,,,,,,,,,,,
GFDL-CM4,r1i1p1f1,,,,,,,,,,,,,,,,,,,
GFDL-ESM4,r2i1p1f1,r3i1p1f1,r1i1p1f1,,,,,,,,,,,,,,,,,
GISS-E2-1-G,r11i1p1f2,r6i1p5f1,r10i1p1f1,r9i1p1f2,r8i1p5f1,r101i1p1f1,r6i1p3f1,r1i1p5f1,r10i1p5f1,r10i1p1f2,r102i1p1f1,r2i1p1f1,r5i1p1f1,r7i1p1f2,r1i1p1f2,r7i1p5f1,r4i1p3f1,r6i1p1f2,r1i1p1f3,r2i1p5f1
GISS-E2-1-G-CC,r1i1p1f1,,,,,,,,,,,,,,,,,,,
GISS-E2-1-H,r5i1p1f1,r10i1p1f1,r2i1p1f2,r2i1p1f1,r5i1p1f2,r3i1p5f1,r5i1p3f1,r4i1p3f1,r4i1p5f1,r2i1p5f1,r3i1p1f2,r1i1p3f1,r7i1p1f1,r6i1p1f1,r3i1p1f1,r1i1p5f1,r5i1p5f1,r3i1p3f1,r4i1p1f1,r2i1p3f1
GISS-E2-2-G,r2i1p3f1,r4i1p3f1,r2i1p1f1,r1i1p1f1,r3i1p1f1,r1i1p3f1,r3i1p3f1,r4i1p1f1,r6i1p1f1,r5i1p3f1,r5i1p1f1,,,,,,,,,
GISS-E2-2-H,r3i1p1f1,r1i1p1f1,r4i1p1f1,r5i1p1f1,r2i1p1f1,,,,,,,,,,,,,,,
HadGEM3-GC31-LL,r2i1p1f3,r5i1p1f3,r3i1p1f3,r4i1p1f3,r1i1p1f3,,,,,,,,,,,,,,,
HadGEM3-GC31-MM,r2i1p1f3,r4i1p1f3,r3i1p1f3,r1i1p1f3,,,,,,,,,,,,,,,,
IITM-ESM,r1i1p1f1,,,,,,,,,,,,,,,,,,,
INM-CM4-8,r1i1p1f1,,,,,,,,,,,,,,,,,,,
INM-CM5-0,r4i1p1f1,r8i1p1f1,r2i1p1f1,r3i1p1f1,r10i1p1f1,r5i1p1f1,r6i1p1f1,r9i1p1f1,r1i1p1f1,r7i1p1f1,,,,,,,,,,
IPSL-CM5A2-INCA,r1i1p1f1,,,,,,,,,,,,,,,,,,,
IPSL-CM6A-LR,r4i1p1f1,r13i1p1f1,r12i1p1f1,r9i1p1f1,r26i1p1f1,r17i1p1f1,r22i1p1f1,r29i1p1f1,r10i1p1f1,r27i1p1f1,r1i1p1f1,r31i1p1f1,r19i1p1f1,r18i1p1f1,r14i1p1f1,r6i1p1f1,r33i1p1f1,r16i1p1f1,r28i1p1f1,r24i1p1f1
IPSL-CM6A-LR-INCA,r1i1p1f1,,,,,,,,,,,,,,,,,,,
KACE-1-0-G,r1i1p1f1,r2i1p1f1,r3i1p1f1,,,,,,,,,,,,,,,,,
KIOST-ESM,r1i1p1f1,,,,,,,,,,,,,,,,,,,
MCM-UA-1-0,r1i1p1f2,r1i1p1f1,,,,,,,,,,,,,,,,,,
MIROC-ES2H,r1i1p4f2,r3i1p4f2,r2i1p4f2,,,,,,,,,,,,,,,,,
MIROC-ES2L,r16i1p1f2,r8i1p1f2,r21i1p1f2,r19i1p1f2,r24i1p1f2,r1i1000p1f2,r3i1p1f2,r5i1p1f2,r15i1p1f2,r4i1p1f2,r9i1p1f2,r26i1p1f2,r6i1p1f2,r20i1p1f2,r25i1p1f2,r10i1p1f2,r27i1p1f2,r28i1p1f2,r7i1p1f2,r30i1p1f2
MIROC6,r5i1p1f1,r19i1p1f1,r41i1p1f1,r40i1p1f1,r49i1p1f1,r4i1p1f1,r1i1p1f1,r14i1p1f1,r42i1p1f1,r23i1p1f1,r38i1p1f1,r46i1p1f1,r12i1p1f1,r17i1p1f1,r48i1p1f1,r32i1p1f1,r35i1p1f1,r39i1p1f1,r15i1p1f1,r9i1p1f1
MPI-ESM-1-2-HAM,r3i1p1f1,r1i1p1f1,r2i1p1f1,,,,,,,,,,,,,,,,,
MPI-ESM1-2-HR,r9i1p1f1,r6i1p1f1,r2i1p1f1,r8i1p1f1,r10i1p1f1,r7i1p1f1,r4i1p1f1,r3i1p1f1,r5i1p1f1,r1i1p1f1,,,,,,,,,,
MPI-ESM1-2-LR,r17i1p1f1,r23i1p1f1,r15i1p1f1,r29i1p1f1,r27i1p1f1,r28i1p1f1,r20i1p1f1,r2i1p1f1,r26i1p1f1,r18i1p1f1,r14i1p1f1,r8i1p1f1,r19i1p1f1,r25i1p1f1,r24i1p1f1,r3i1p1f1,r4i1p1f1,r12i1p1f1,r16i1p1f1,r22i1p1f1
MRI-ESM2-0,r1i1000p1f1,r5i1p1f1,r10i1p1f1,r3i1p1f1,r9i1p1f1,r7i1p1f1,r1i2p1f1,r2i1p1f1,r6i1p1f1,r1i1p1f1,r4i1p1f1,r8i1p1f1,,,,,,,,
NESM3,r4i1p1f1,r3i1p1f1,r5i1p1f1,r1i1p1f1,r2i1p1f1,,,,,,,,,,,,,,,
NorCPM1,r5i1p1f1,r1i1p1f1,r27i1p1f1,r21i1p1f1,r22i1p1f1,r30i1p1f1,r11i1p1f1,r15i1p1f1,r14i1p1f1,r6i1p1f1,r19i1p1f1,r25i1p1f1,r3i1p1f1,r20i1p1f1,r2i1p1f1,r26i1p1f1,r7i1p1f1,r13i1p1f1,r12i1p1f1,r23i1p1f1
NorESM2-LM,r2i1p1f1,r3i1p1f1,r1i1p1f1,,,,,,,,,,,,,,,,,
NorESM2-MM,r2i1p1f1,r1i1p1f1,r3i1p1f1,,,,,,,,,,,,,,,,,
SAM0-UNICON,r1i1p1f1,,,,,,,,,,,,,,,,,,,
TaiESM1,r1i1p1f1,r2i1p1f1,,,,,,,,,,,,,,,,,,
UKESM1-0-LL,r5i1p1f3,r19i1p1f2,r18i1p1f2,r2i1p1f2,r13i1p1f2,r14i1p1f2,r11i1p1f2,r6i1p1f3,r12i1p1f2,r7i1p1f3,r3i1p1f2,r9i1p1f2,r1i1p1f2,r8i1p1f2,r17i1p1f2,r10i1p1f2,r15i1p1f2,r4i1p1f2,r16i1p1f2,
UKESM1-1-LL,r1i1p1f2,,,,,,,,,,,,,,,,,,,
